Query,LOINC Code,Name,Component,System,Property,Measurement,Normalized_Score
bilirubin in plasma,21641-6,cacna1s gene mutation found identifier blood tissue molecular genetics method nominal,cacna1s gene targeted mutation analysis,blood tissue,prid,identifier,0.045463983
bilirubin in plasma,21642-4,cacna1s gene p arg1239gly presence blood tissue molecular genetics method,cacna1s gene p arg1239gly,blood tissue,prthr,presence,0.05163212
bilirubin in plasma,21643-2,cacna1s gene p arg1239his presence blood tissue molecular genetics method,cacna1s gene p arg1239his,blood tissue,prthr,presence,0.050863937
bilirubin in plasma,21644-0,cacna1s gene p arg528his presence blood tissue molecular genetics method,cacna1s gene p arg528his,blood tissue,prthr,presence,0.05603389
bilirubin in plasma,21645-7,cacna1s gene mutation tested blood tissue molecular genetics method nominal,cacna1s gene mutation tested,blood tissue,prid,,0.052633345
bilirubin in plasma,101736-7,calcium hydrogen phosphate dihydrate chpd 24 hour urine,brushite crystal,urine,engdiff,,0.07157939
bilirubin in plasma,3242-5,recalcification time platelet poor plasma coagulation assay,coagulation calcium ion induced,ppp,time,,0.07474613
bilirubin in plasma,25377-3,recalcification time control platelet poor plasma coagulation assay,coagulation calcium ion induced,ppp control,time,,0.07708923
bilirubin in plasma,90422-7,taci cell cell cd19 blood,cell taci cell cd19,blood,nfr,,0.0568938
bilirubin in plasma,104294-4,cdh1 gene rearrangement interpretation blood tissue molecular genetics method narrative,cdh1 gene rearrangement,blood tissue,imp,interpretation,0.05151802
bilirubin in plasma,44420-8,cacna1a gene targeted mutation analysis blood tissue molecular genetics method,cacna1a gene targeted mutation analysis,blood tissue,find,,0.044116445
bilirubin in plasma,21755-4,cacna1a gene cag repeat presence blood tissue molecular genetics method,cacna1a gene cag repeat,blood tissue,prthr,presence,0.04637687
bilirubin in plasma,41748-5,capn3 gene targeted mutation analysis blood tissue molecular genetics method,capn3 gene targeted mutation analysis,blood tissue,find,,0.04946736
bilirubin in plasma,45191-4,capn3 gene mutation found identifier blood tissue molecular genetics method nominal,capn3 gene targeted mutation analysis,blood tissue,prid,identifier,0.05368803
bilirubin in plasma,96973-3,cdh1 gene deletion duplication mutation analysis identifier blood tissue molecular genetics method nominal,cdh1 gene deletion duplication,blood tissue,prid,identifier,0.04578543
bilirubin in plasma,21653-1,cdh1 gene mutation tested blood tissue molecular genetics method nominal,cdh1 gene mutation tested,blood tissue,prid,,0.048912738
bilirubin in plasma,21652-3,cdh1 gene mutation found identifier blood tissue molecular genetics method nominal,cdh1 gene targeted mutation analysis,blood tissue,prid,identifier,0.042897932
bilirubin in plasma,49649-7,cacna1a gene allele 1 cag repeat entitic number blood tissue molecular genetics method,cacna1a gene allele 1 cag repeat,blood tissue,entnum,entitic number,0.053520262
bilirubin in plasma,49650-5,cacna1a gene allele 2 cag repeat entitic number blood tissue molecular genetics method,cacna1a gene allele 2 cag repeat,blood tissue,entnum,entitic number,0.056837644
bilirubin in plasma,94240-9,cdh1 gene deletion duplication full mutation analysis blood tissue molecular genetics method,cdh1 gene deletion duplication full mutation analysis,blood tissue,find,,0.03987554
bilirubin in plasma,2753-2,ph serum plasma,ph,serum plasma,lscnc,,0.18311091
bilirubin in plasma,46963-5,tube number serum plasma blood,tube number,serum plasma blood,id,,0.16956261
bilirubin in plasma,77136-0,urea mole volume serum plasma blood,urea,serum plasma blood,substance concentration,mole volume,0.20066832
bilirubin in plasma,15176-1,cryoproteins identified serum plasma,cryoproteins,serum plasma,prid,,0.17972162
bilirubin in plasma,40860-9,cytokine presence serum plasma,cytokine,serum plasma,prthr,presence,0.16737388
bilirubin in plasma,32619-9,biotinidase presence serum plasma,biotinidase,serum plasma,prthr,presence,0.17249079
bilirubin in plasma,2692-2,osmolality serum plasma,observation,serum plasma,osmol,,0.18093365
bilirubin in plasma,20395-0,sample integrity type serum plasma,sample integrity,serum plasma,type,type,0.15668014
bilirubin in plasma,55453-5,deprecated haptoglobin serum plasma,haptoglobin,serum plasma,,,0.18686344
bilirubin in plasma,100898-6,lipid panel serum plasma,lipid panel,serum plasma,,,0.16018242
bilirubin in plasma,3065-0,trypsinogen presence serum plasma,trypsinogen,serum plasma,prthr,presence,0.16306467
bilirubin in plasma,33805-3,fructosamine mass volume serum plasma,fructosamine,serum plasma,mass concentration,mass volume,0.17690963
bilirubin in plasma,95920-5,galantamine mass volume serum plasma blood,galantamine,serum plasma blood,mass concentration,mass volume,0.18322985
bilirubin in plasma,77138-6,chloride mole volume serum plasma blood,chloride,serum plasma blood,substance concentration,mole volume,0.20860256
bilirubin in plasma,48620-9,cholesterol mass volume serum plasma ultracentrifugate,cholesterol,serum plasma ultracentrifugate,mass concentration,mass volume,0.18546492
bilirubin in plasma,77139-4,sodium mole volume serum plasma blood,sodium,serum plasma blood,substance concentration,mole volume,0.19563761
bilirubin in plasma,27351-6,pantothenate presence serum plasma blood,pantothenate,serum plasma blood,prthr,presence,0.17599024
bilirubin in plasma,77142-8,potassium mole volume serum plasma blood,potassium,serum plasma blood,substance concentration,mole volume,0.20780736
bilirubin in plasma,32046-5,pregnancy associated plasma protein unit volume serum plasma,pregnancy associated plasma protein,serum plasma,amount concentration,unit volume,0.19706368
bilirubin in plasma,48407-1,pregnancy associated plasma protein mass volume serum plasma,pregnancy associated plasma protein,serum plasma,mass concentration,mass volume,0.19383995
bilirubin in plasma,32123-2,pregnancy associated plasma protein multiple median serum plasma,pregnancy associated plasma protein,serum plasma,mom,multiple median,0.18158263
bilirubin in plasma,76348-2,pregnancy associated plasma protein multiple median adjusted serum plasma,pregnancy associated plasma protein adjusted,serum plasma,mom,multiple median,0.18138102
bilirubin in plasma,15069-8,fructosamine mole volume serum plasma,fructosamine,serum plasma,substance concentration,mole volume,0.1780255
bilirubin in plasma,53550-0,fructosamine protein ratio serum plasma,fructosamine protein,serum plasma,ratio,ratio,0.1683939
bilirubin in plasma,22676-1,7 dehydrocholesterol presence serum plasma,7 dehydrocholesterol,serum plasma,prthr,presence,0.16935265
bilirubin in plasma,31991-3,acylcarnitine presence serum plasma,acylcarnitine,serum plasma,prthr,presence,0.17371194
bilirubin in plasma,43433-2,acylcarnitine panel serum plasma,acylcarnitine panel,serum plasma,,,0.16494189
bilirubin in plasma,47828-9,adiponectin mass volume serum plasma,adiponectin,serum plasma,mass concentration,mass volume,0.1872074
bilirubin in plasma,79581-5,alanylproline mole volume serum plasma,alanylproline,serum plasma,substance concentration,mole volume,0.17291474
bilirubin in plasma,75158-6,allantoine mole volume serum plasma,allantoine,serum plasma,substance concentration,mole volume,0.17141041
bilirubin in plasma,38355-4,chitotriosidase enzymatic activity volume serum plasma,chitotriosidase,serum plasma,cell concentration,enzymatic activity volume,0.19523053
bilirubin in plasma,80371-8,chitotriosidase enzymatic activity mass serum plasma,chitotriosidase,serum plasma,ccnt,enzymatic activity mass,0.19337083
bilirubin in plasma,2167-5,cryoglobulin presence serum plasma,cryoglobulin,serum plasma,prthr,presence,0.16725923
bilirubin in plasma,2172-5,cystathionine presence serum plasma,cystathionine,serum plasma,prthr,presence,0.17257686
bilirubin in plasma,20641-7,cysteine mole volume serum plasma,cysteine,serum plasma,substance concentration,mole volume,0.18539543
bilirubin in plasma,27350-8,cystine unit volume serum plasma,cystine,serum plasma,amount concentration,unit volume,0.1743473
bilirubin in plasma,2176-6,cystine presence serum plasma,cystine,serum plasma,prthr,presence,0.16151877
bilirubin in plasma,82335-1,cytokine panel serum plasma,cytokine panel,serum plasma,,,0.15812369
bilirubin in plasma,79655-7,cytosine mole volume serum plasma,cytosine,serum plasma,substance concentration,mole volume,0.16759594
bilirubin in plasma,75039-8,biopterin mole volume serum plasma,biopterin,serum plasma,substance concentration,mole volume,0.18028606
bilirubin in plasma,1982-8,biotinidase enzymatic activity volume serum plasma,biotinidase,serum plasma,cell concentration,enzymatic activity volume,0.19459736
bilirubin in plasma,80370-0,biotinidase enzymatic activity mass serum plasma,biotinidase,serum plasma,ccnt,enzymatic activity mass,0.1976951
bilirubin in plasma,12606-0,dolichol mass volume serum plasma,dolichol,serum plasma,mass concentration,mass volume,0.19869447
bilirubin in plasma,2216-0,dopamine mass volume serum plasma,dopamine,serum plasma,mass concentration,mass volume,0.17192104
bilirubin in plasma,14703-3,dopamine mole volume serum plasma,dopamine,serum plasma,substance concentration,mole volume,0.18318109
bilirubin in plasma,75738-5,campesterol mass volume serum plasma,campesterol,serum plasma,mass concentration,mass volume,0.18713805
bilirubin in plasma,58464-9,campesterol mole volume serum plasma,campesterol,serum plasma,substance concentration,mole volume,0.17710592
bilirubin in plasma,9789-9,carbamate pesticide type serum plasma,carbamate pesticide,serum plasma,type,type,0.16616857
bilirubin in plasma,2046-1,carnitine mass volume serum plasma,carnitine,serum plasma,mass concentration,mass volume,0.17122014
bilirubin in plasma,2045-3,carnitine presence serum plasma,carnitine,serum plasma,prthr,presence,0.16971125
bilirubin in plasma,14288-5,carnitine mole volume serum plasma,carnitine,serum plasma,substance concentration,mole volume,0.18578064
bilirubin in plasma,34175-0,analgesic identifier serum plasma,analgesic,serum plasma,prid,identifier,0.15222926
bilirubin in plasma,9640-4,androstanediol mass volume serum plasma,androstanediol,serum plasma,mass concentration,mass volume,0.19090231
bilirubin in plasma,15026-8,androstanediol mole volume serum plasma,androstanediol,serum plasma,substance concentration,mole volume,0.18884426
bilirubin in plasma,43826-7,androstanolone presence serum plasma,androstanolone,serum plasma,prthr,presence,0.16670199
bilirubin in plasma,43817-6,androstenedione presence serum plasma,androstenedione,serum plasma,prthr,presence,0.16446498
bilirubin in plasma,1856-4,androsterone mass volume serum plasma,androsterone,serum plasma,mass concentration,mass volume,0.16596715
bilirubin in plasma,15029-2,androsterone mole volume serum plasma,androsterone,serum plasma,substance concentration,mole volume,0.1738674
bilirubin in plasma,1865-5,anserine presence serum plasma,anserine,serum plasma,prthr,presence,0.17540419
bilirubin in plasma,55219-0,antioxidant mole volume serum plasma,antioxidant,serum plasma,substance concentration,mole volume,0.18146873
bilirubin in plasma,12344-8,antipsychotic identifier serum plasma,antipsychotic,serum plasma,prid,identifier,0.1648928
bilirubin in plasma,74368-2,apelin mass volume serum plasma,apelin,serum plasma,mass concentration,mass volume,0.19383049
bilirubin in plasma,27974-5,arginine unit volume serum plasma,arginine,serum plasma,amount concentration,unit volume,0.18505375
bilirubin in plasma,1893-7,arginine mass volume serum plasma,arginine,serum plasma,mass concentration,mass volume,0.1736649
bilirubin in plasma,1892-9,arginine presence serum plasma,arginine,serum plasma,prthr,presence,0.17057572
bilirubin in plasma,20637-5,arginine mole volume serum plasma,arginine,serum plasma,substance concentration,mole volume,0.17987414
bilirubin in plasma,75739-3,desmosterol mass volume serum plasma,desmosterol,serum plasma,mass concentration,mass volume,0.18346946
bilirubin in plasma,74905-1,desmosterol mole volume serum plasma,desmosterol,serum plasma,substance concentration,mole volume,0.18384698
bilirubin in plasma,79576-5,allocystathionine mole volume serum plasma,allocystathionine,serum plasma,substance concentration,mole volume,0.17344913
bilirubin in plasma,2233-5,epitestosterone mass volume serum plasma,epitestosterone,serum plasma,mass concentration,mass volume,0.18005586
bilirubin in plasma,15411-2,ergosterol mass volume serum plasma,ergosterol,serum plasma,mass concentration,mass volume,0.17332274
bilirubin in plasma,54386-8,dehydroascorbate mole volume serum plasma,dehydroascorbate,serum plasma,substance concentration,mole volume,0.17773417
bilirubin in plasma,75122-2,deoxyadenosine mole volume serum plasma,deoxyadenosine,serum plasma,substance concentration,mole volume,0.19892426
bilirubin in plasma,75134-7,deoxyguanosine mole volume serum plasma,deoxyguanosine,serum plasma,substance concentration,mole volume,0.17806701
bilirubin in plasma,75127-1,deoxyinosine mole volume serum plasma,deoxyinosine,serum plasma,substance concentration,mole volume,0.18684278
bilirubin in plasma,47957-6,deoxyuridine mole volume serum plasma,deoxyuridine,serum plasma,substance concentration,mole volume,0.19203366
bilirubin in plasma,16918-5,glutathione mass volume serum plasma,glutathione,serum plasma,mass concentration,mass volume,0.19095281
bilirubin in plasma,57005-1,glutathione mole volume serum plasma,glutathione,serum plasma,substance concentration,mole volume,0.18044603
bilirubin in plasma,2387-9,glycerol mass volume serum plasma,glycerol,serum plasma,mass concentration,mass volume,0.19452353
bilirubin in plasma,45300-1,glycerol mole volume serum plasma,glycerol,serum plasma,substance concentration,mole volume,0.17500547
bilirubin in plasma,2391-1,glycine mass volume serum plasma,glycine,serum plasma,mass concentration,mass volume,0.19247143
bilirubin in plasma,2390-3,glycine presence serum plasma,glycine,serum plasma,prthr,presence,0.17303783
bilirubin in plasma,20644-1,glycine mole volume serum plasma,glycine,serum plasma,substance concentration,mole volume,0.1802442
bilirubin in plasma,93335-8,glycochenodeoxycholate mole volume serum plasma,glycochenodeoxycholate,serum plasma,substance concentration,mole volume,0.18446122
bilirubin in plasma,93334-1,glycocholate mole volume serum plasma,glycocholate,serum plasma,substance concentration,mole volume,0.18624686
bilirubin in plasma,93333-3,glycodeoxycholate mole volume serum plasma,glycodeoxycholate,serum plasma,substance concentration,mole volume,0.18900202
bilirubin in plasma,93332-5,glycohyodeoxycholate mole volume serum plasma,glycohyodeoxycholate,serum plasma,substance concentration,mole volume,0.1884244
bilirubin in plasma,93331-7,glycolithocholate mole volume serum plasma,glycolithocholate,serum plasma,substance concentration,mole volume,0.19381288
bilirubin in plasma,16920-1,glycoprotein presence serum plasma,glycoprotein,serum plasma,prthr,presence,0.17456591
bilirubin in plasma,93330-9,glycoursodeoxycholate mole volume serum plasma,glycoursodeoxycholate,serum plasma,substance concentration,mole volume,0.18608697
bilirubin in plasma,14723-1,ferritin mole volume serum plasma,ferritin,serum plasma,substance concentration,mole volume,0.20692177
bilirubin in plasma,49773-5,galactitol mole volume serum plasma,galactitol,serum plasma,substance concentration,mole volume,0.1742258
bilirubin in plasma,2308-5,galactose mass volume serum plasma,galactose,serum plasma,mass concentration,mass volume,0.17954978
bilirubin in plasma,25426-8,galactose mole volume serum plasma,galactose,serum plasma,substance concentration,mole volume,0.16382995
bilirubin in plasma,2050-3,carnosine mass volume serum plasma,carnosine,serum plasma,mass concentration,mass volume,0.16628896
bilirubin in plasma,2049-5,carnosine presence serum plasma,carnosine,serum plasma,prthr,presence,0.16655196
bilirubin in plasma,26606-4,carnosine mole volume serum plasma,carnosine,serum plasma,substance concentration,mole volume,0.17722651
bilirubin in plasma,27995-0,asparagine unit volume serum plasma,asparagine,serum plasma,amount concentration,unit volume,0.17463808
bilirubin in plasma,1908-3,asparagine mass volume serum plasma,asparagine,serum plasma,mass concentration,mass volume,0.16412385
bilirubin in plasma,1907-5,asparagine presence serum plasma,asparagine,serum plasma,prthr,presence,0.1624722
bilirubin in plasma,20638-3,asparagine mole volume serum plasma,asparagine,serum plasma,substance concentration,mole volume,0.17038433
bilirubin in plasma,1912-5,aspartate presence serum plasma,aspartate,serum plasma,prthr,presence,0.17068747
bilirubin in plasma,79585-6,aspartylglycine mole volume serum plasma,aspartylglycine,serum plasma,substance concentration,mole volume,0.17961955
bilirubin in plasma,2856-3,prostaglandin mass volume serum plasma,prostaglandin,serum plasma,mass concentration,mass volume,0.18629596
bilirubin in plasma,2845-6,proline mass volume serum plasma,proline,serum plasma,mass concentration,mass volume,0.19097842
bilirubin in plasma,2844-9,proline presence serum plasma,proline,serum plasma,prthr,presence,0.1670275
bilirubin in plasma,20655-7,proline mole volume serum plasma,proline,serum plasma,substance concentration,mole volume,0.17525397
bilirubin in plasma,2837-3,pregnenolone mass volume serum plasma,pregnenolone,serum plasma,mass concentration,mass volume,0.20133118
bilirubin in plasma,25507-5,pregnenolone mole volume serum plasma,pregnenolone,serum plasma,substance concentration,mole volume,0.19011362
bilirubin in plasma,17611-5,stimulant identifier serum plasma,stimulant,serum plasma,prid,identifier,0.17009148
bilirubin in plasma,80169-6,pterins panel serum plasma,pterins panel,serum plasma,,,0.16200218
bilirubin in plasma,55948-4,nitrite mole volume serum plasma,nitrite,serum plasma,substance concentration,mole volume,0.17621216
bilirubin in plasma,27335-9,ornithine unit volume serum plasma,ornithine,serum plasma,amount concentration,unit volume,0.18106964
bilirubin in plasma,2679-9,ornithine mass volume serum plasma,ornithine,serum plasma,mass concentration,mass volume,0.18879674
bilirubin in plasma,20652-4,ornithine mole volume serum plasma,ornithine,serum plasma,substance concentration,mole volume,0.17847997
bilirubin in plasma,33264-3,osmol gap serum plasma,osmol gap,serum plasma,osmol,,0.17960766
bilirubin in plasma,2678-1,ornithine presence serum plasma,ornithine,serum plasma,prthr,presence,0.16892448
bilirubin in plasma,75125-5,orotidine mole volume serum plasma,orotidine,serum plasma,substance concentration,mole volume,0.18129212
bilirubin in plasma,2082-6,cholestanol mass volume serum plasma,cholestanol,serum plasma,mass concentration,mass volume,0.19225779
bilirubin in plasma,74432-6,cholestanol mole volume serum plasma,cholestanol,serum plasma,substance concentration,mole volume,0.19219743
bilirubin in plasma,17248-6,melanin unit volume serum plasma,melanin,serum plasma,amount concentration,unit volume,0.18290779
bilirubin in plasma,12721-7,melatonin unit volume serum plasma,melatonin,serum plasma,amount concentration,unit volume,0.1807502
bilirubin in plasma,11055-1,melatonin mass volume serum plasma,melatonin,serum plasma,mass concentration,mass volume,0.1799198
bilirubin in plasma,2124-6,chymotrypsin mass volume serum plasma,chymotrypsin,serum plasma,mass concentration,mass volume,0.1617813
bilirubin in plasma,2129-5,citrulline presence serum plasma,citrulline,serum plasma,prthr,presence,0.17420557
bilirubin in plasma,44323-4,iodine presence serum plasma,iodine,serum plasma,prthr,presence,0.175437
bilirubin in plasma,93974-4,iohexol mass volume serum plasma,iohexol,serum plasma,mass concentration,mass volume,0.18017161
bilirubin in plasma,93980-1,iothalamate mass volume serum plasma,iothalamate,serum plasma,mass concentration,mass volume,0.18895726
bilirubin in plasma,14797-5,iron interpretation serum plasma,iron,serum plasma,imp,interpretation,0.18790182
bilirubin in plasma,44326-7,iron presence serum plasma,iron,serum plasma,prthr,presence,0.17959061
bilirubin in plasma,14798-3,iron mole volume serum plasma,iron,serum plasma,substance concentration,mole volume,0.19180125
bilirubin in plasma,2508-0,isoleucine mass volume serum plasma,isoleucine,serum plasma,mass concentration,mass volume,0.20328714
bilirubin in plasma,2507-2,isoleucine presence serum plasma,isoleucine,serum plasma,prthr,presence,0.18224403
bilirubin in plasma,20648-2,isoleucine mole volume serum plasma,isoleucine,serum plasma,substance concentration,mole volume,0.18623056
bilirubin in plasma,79316-6,isoxanthopterin mole volume serum plasma,isoxanthopterin,serum plasma,substance concentration,mole volume,0.18265885
bilirubin in plasma,53470-1,kynurenin mole volume serum plasma,kynurenin,serum plasma,substance concentration,mole volume,0.18576206
bilirubin in plasma,2552-8,lactose mass volume serum plasma,lactose,serum plasma,mass concentration,mass volume,0.19171518
bilirubin in plasma,74898-8,lanosterol mole volume serum plasma,lanosterol,serum plasma,substance concentration,mole volume,0.1874655
bilirubin in plasma,75740-1,lathosterol mass volume serum plasma,lathosterol,serum plasma,mass concentration,mass volume,0.18098539
bilirubin in plasma,77373-9,lathosterol mole volume serum plasma,lathosterol,serum plasma,substance concentration,mole volume,0.1899944
bilirubin in plasma,54238-1,ldl oxidized unit volume serum plasma,ldl oxidized,serum plasma,amount concentration,unit volume,0.19850315
bilirubin in plasma,2416-6,histamine mass volume serum plasma,histamine,serum plasma,mass concentration,mass volume,0.19389232
bilirubin in plasma,34316-0,histamine mole volume serum plasma,histamine,serum plasma,substance concentration,mole volume,0.18827327
bilirubin in plasma,2421-6,histidine presence serum plasma,histidine,serum plasma,prthr,presence,0.18120274
bilirubin in plasma,79602-9,homocarnosine mole volume serum plasma,homocarnosine,serum plasma,substance concentration,mole volume,0.1725207
bilirubin in plasma,2584-1,lysine presence serum plasma,lysine,serum plasma,prthr,presence,0.18233949
bilirubin in plasma,15358-5,macroamylase presence serum plasma,macroamylase,serum plasma,prthr,presence,0.18105376
bilirubin in plasma,2612-0,methemalbumin mass volume serum plasma,methemalbumin,serum plasma,mass concentration,mass volume,0.19720043
bilirubin in plasma,17263-5,methemalbumin presence serum plasma,methemalbumin,serum plasma,prthr,presence,0.17451368
bilirubin in plasma,27953-9,methionine unit volume serum plasma,methionine,serum plasma,amount concentration,unit volume,0.18363577
bilirubin in plasma,2622-9,methionine mass volume serum plasma,methionine,serum plasma,mass concentration,mass volume,0.19383995
bilirubin in plasma,2621-1,methionine presence serum plasma,methionine,serum plasma,prthr,presence,0.17386174
bilirubin in plasma,20651-6,methionine mole volume serum plasma,methionine,serum plasma,substance concentration,mole volume,0.18121801
bilirubin in plasma,101137-8,mns29 presence serum plasma,mns29,serum plasma,prthr,presence,0.17234707
bilirubin in plasma,13130-0,motilin unit volume serum plasma,motilin,serum plasma,amount concentration,unit volume,0.18934266
bilirubin in plasma,13891-7,motilin mass volume serum plasma,motilin,serum plasma,mass concentration,mass volume,0.19213657
bilirubin in plasma,2936-3,serine mass volume serum plasma,serine,serum plasma,mass concentration,mass volume,0.19272526
bilirubin in plasma,2935-5,serine presence serum plasma,serine,serum plasma,prthr,presence,0.17283116
bilirubin in plasma,20656-5,serine mole volume serum plasma,serine,serum plasma,substance concentration,mole volume,0.17519969
bilirubin in plasma,90238-7,salicylcarnitine mole volume serum plasma,salicylcarnitine,serum plasma,substance concentration,mole volume,0.1954842
bilirubin in plasma,2930-6,sarcosine presence serum plasma,sarcosine,serum plasma,prthr,presence,0.16600017
bilirubin in plasma,78959-4,hyocholate mole volume serum plasma,hyocholate,serum plasma,substance concentration,mole volume,0.17896353
bilirubin in plasma,96500-4,hyperoxaluria panel serum plasma,hyperoxaluria panel,serum plasma,,,0.17384724
bilirubin in plasma,75135-4,hypoxanthine mole volume serum plasma,hypoxanthine,serum plasma,substance concentration,mole volume,0.18272841
bilirubin in plasma,76474-6,ghrelin mass volume serum plasma,ghrelin,serum plasma,mass concentration,mass volume,0.19237079
bilirubin in plasma,80093-8,glucosamine mole volume serum plasma,glucosamine,serum plasma,substance concentration,mole volume,0.17059465
bilirubin in plasma,2363-0,glutamate presence serum plasma,glutamate,serum plasma,prthr,presence,0.17795381
bilirubin in plasma,2372-1,glutamine mass volume serum plasma,glutamine,serum plasma,mass concentration,mass volume,0.19750096
bilirubin in plasma,2371-3,glutamine presence serum plasma,glutamine,serum plasma,prthr,presence,0.17678723
bilirubin in plasma,20643-3,glutamine mole volume serum plasma,glutamine,serum plasma,substance concentration,mole volume,0.18003403
bilirubin in plasma,27174-2,inhibin unit volume serum plasma,inhibin,serum plasma,amount concentration,unit volume,0.2143491
bilirubin in plasma,21365-2,leptin mass volume serum plasma,leptin,serum plasma,mass concentration,mass volume,0.17242041
bilirubin in plasma,2560-1,leucine mass volume serum plasma,leucine,serum plasma,mass concentration,mass volume,0.19721274
bilirubin in plasma,2559-3,leucine presence serum plasma,leucine,serum plasma,prthr,presence,0.18005268
bilirubin in plasma,20649-0,leucine mole volume serum plasma,leucine,serum plasma,substance concentration,mole volume,0.18290302
bilirubin in plasma,59062-0,lipoprofile panel serum plasma,lipoprofile panel,serum plasma,,,0.15811525
bilirubin in plasma,17085-2,lipoprotein presence serum plasma,lipoprotein,serum plasma,prthr,presence,0.17908758
bilirubin in plasma,16872-4,fluorocarbon identifier serum plasma,fluorocarbon,serum plasma,prid,identifier,0.16270538
bilirubin in plasma,75150-3,inosine mole volume serum plasma,inosine,serum plasma,substance concentration,mole volume,0.17707573
bilirubin in plasma,55458-4,deprecated interferon alpha serum plasma,interferon alpha,serum plasma,,,0.1623503
bilirubin in plasma,34908-4,neopterin mass volume serum plasma,neopterin,serum plasma,mass concentration,mass volume,0.18117823
bilirubin in plasma,9740-2,neopterin mole volume serum plasma,neopterin,serum plasma,substance concentration,mole volume,0.18016574
bilirubin in plasma,2654-2,neurophysin mass volume serum plasma,neurophysin,serum plasma,mass concentration,mass volume,0.18826132
bilirubin in plasma,49013-6,pancreastatin mass volume serum plasma,pancreastatin,serum plasma,mass concentration,mass volume,0.18038076
bilirubin in plasma,27362-3,phenylalanine unit volume serum plasma,phenylalanine,serum plasma,amount concentration,unit volume,0.19324195
bilirubin in plasma,2764-9,phenylalanine presence serum plasma,phenylalanine,serum plasma,prthr,presence,0.17980728
bilirubin in plasma,79472-7,phenylpropionylglycine mole volume serum plasma,phenylpropionylglycine,serum plasma,substance concentration,mole volume,0.1804789
bilirubin in plasma,17458-1,phosphoethanolamine presence serum plasma,phosphoethanolamine,serum plasma,prthr,presence,0.18374981
bilirubin in plasma,10838-1,phosphoserine mass volume serum plasma,phosphoserine,serum plasma,mass concentration,mass volume,0.1931336
bilirubin in plasma,17461-5,phosphoserine presence serum plasma,phosphoserine,serum plasma,prthr,presence,0.17099974
bilirubin in plasma,20654-0,phosphoserine mole volume serum plasma,phosphoserine,serum plasma,substance concentration,mole volume,0.17612424
bilirubin in plasma,33050-6,pseudocholinesterase phenotype identifier serum plasma,pseudocholinesterase phenotype,serum plasma,prid,identifier,0.15685703
bilirubin in plasma,13019-5,pesticide identifier serum plasma,pesticide,serum plasma,prid,identifier,0.16296971
bilirubin in plasma,92740-0,oxysterols panel serum plasma,oxysterols panel,serum plasma,,,0.15878764
bilirubin in plasma,35415-9,oxytocin unit volume serum plasma,oxytocin,serum plasma,amount concentration,unit volume,0.19030735
bilirubin in plasma,100426-6,squalene mass volume serum plasma,squalene,serum plasma,mass concentration,mass volume,0.18603025
bilirubin in plasma,79326-5,squalene mole volume serum plasma,squalene,serum plasma,substance concentration,mole volume,0.174306
bilirubin in plasma,100427-4,stigmasterol mass volume serum plasma,stigmasterol,serum plasma,mass concentration,mass volume,0.17363934
bilirubin in plasma,74886-3,stigmasterol mole volume serum plasma,stigmasterol,serum plasma,substance concentration,mole volume,0.17667224
bilirubin in plasma,79511-2,suberylglycine mole volume serum plasma,suberylglycine,serum plasma,substance concentration,mole volume,0.18048829
bilirubin in plasma,26896-1,taurine unit volume serum plasma,taurine,serum plasma,amount concentration,unit volume,0.16761942
bilirubin in plasma,2981-9,taurine mass volume serum plasma,taurine,serum plasma,mass concentration,mass volume,0.17910975
bilirubin in plasma,2980-1,taurine presence serum plasma,taurine,serum plasma,prthr,presence,0.16034639
bilirubin in plasma,20657-3,taurine mole volume serum plasma,taurine,serum plasma,substance concentration,mole volume,0.16398129
bilirubin in plasma,93328-3,taurochenodeoxycholate mole volume serum plasma,taurochenodeoxycholate,serum plasma,substance concentration,mole volume,0.183309
bilirubin in plasma,93327-5,taurocholate mole volume serum plasma,taurocholate,serum plasma,substance concentration,mole volume,0.18094996
bilirubin in plasma,93326-7,taurodeoxycholate mole volume serum plasma,taurodeoxycholate,serum plasma,substance concentration,mole volume,0.18430878
bilirubin in plasma,93325-9,taurohyodeoxycholate mole volume serum plasma,taurohyodeoxycholate,serum plasma,substance concentration,mole volume,0.18491583
bilirubin in plasma,93324-2,taurolithocholate mole volume serum plasma,taurolithocholate,serum plasma,substance concentration,mole volume,0.18943004
bilirubin in plasma,93323-4,tauroursodeoxycholate mole volume serum plasma,tauroursodeoxycholate,serum plasma,substance concentration,mole volume,0.18073419
bilirubin in plasma,21564-0,thiosulfate mass volume serum plasma,thiosulfate,serum plasma,mass concentration,mass volume,0.17600869
bilirubin in plasma,26897-9,threonine unit volume serum plasma,threonine,serum plasma,amount concentration,unit volume,0.17628925
bilirubin in plasma,3008-0,threonine mass volume serum plasma,threonine,serum plasma,mass concentration,mass volume,0.18888992
bilirubin in plasma,3007-2,threonine presence serum plasma,threonine,serum plasma,prthr,presence,0.17090228
bilirubin in plasma,20658-1,threonine mole volume serum plasma,threonine,serum plasma,substance concentration,mole volume,0.17480578
bilirubin in plasma,48162-2,thymidine mole volume serum plasma,thymidine,serum plasma,substance concentration,mole volume,0.17166004
bilirubin in plasma,75121-4,thymine mole volume serum plasma,thymine,serum plasma,substance concentration,mole volume,0.17385125
