Query,LOINC Code,Name,Component,System,Property,Measurement,Status,Units,Normalized_Score
bilirubin in plasma,47592-1,component peptide mole volume serum plasma 5 minute post dose glucose,component peptide 5m post dose glucose,serum plasma,substance concentration,mole volume,active,nmol l,0.16946474
bilirubin in plasma,63371-9,ketone presence urine test strip 1 hour post dose glucose,ketone 1h post dose glucose,urine,prthr,presence,active,,0.057833415
bilirubin in plasma,55507-8,somatotropin mass volume serum plasma 2 hour post dose glucose,somatotropin 2h post dose glucose,serum plasma,mass concentration,mass volume,active,ug l ng ml,0.15846543
bilirubin in plasma,47771-1,somatotropin unit volume serum plasma 3 hour post dose glucose po,somatotropin 3h post dose glucose po,serum plasma,amount concentration,unit volume,active,miu l,0.15901682
bilirubin in plasma,1635-2,somatotropin mass volume serum plasma pre 1 g kg glucose po,somatotropin pre 1 g kg glucose po,serum plasma,mass concentration,mass volume,active,ug l ng ml,0.15175124
bilirubin in plasma,40309-7,somatotropin mass volume serum plasma pre post dose glucose,somatotropin pre post dose glucose,serum plasma,mass concentration,mass volume,active,ug l ng ml,0.15746601
bilirubin in plasma,47769-5,somatotropin unit volume serum plasma 30 minute post dose glucose po,somatotropin 30m post dose glucose po,serum plasma,amount concentration,unit volume,active,miu l,0.1588248
bilirubin in plasma,16986-2,hydrogen expired gas volume fraction exhaled gas 1 hour post dose glucose,hydrogen expired gas 1h post dose glucose,exhl gas,vfr,volume fraction,active,,0.06377335
bilirubin in plasma,16991-2,hydrogen expired gas volume fraction exhaled gas 4 5 hour post dose glucose,hydrogen expired gas 4 5h post dose glucose,exhl gas,vfr,volume fraction,active,,0.06445989
bilirubin in plasma,55484-0,insulin mole volume serum plasma 10 minute post dose glucose iv,insulin 10m post dose glucose iv,serum plasma,substance concentration,mole volume,active,pmol l,0.18200843
bilirubin in plasma,55499-8,insulin mole volume serum plasma 15 minute post dose glucose iv,insulin 15m post dose glucose iv,serum plasma,substance concentration,mole volume,active,pmol l,0.17847598
bilirubin in plasma,47657-2,insulin unit volume serum plasma 1 hour post dose glucose,insulin 1h post dose glucose,serum plasma,amount concentration,unit volume,active,miu ml uiu ml,0.17154206
bilirubin in plasma,55486-5,insulin mole volume serum plasma 1 minute post dose glucose iv,insulin 1m post dose glucose iv,serum plasma,substance concentration,mole volume,active,pmol l,0.18057512
bilirubin in plasma,55487-3,insulin mole volume serum plasma 2 5 hour post dose glucose iv,insulin 2 5h post dose glucose iv,serum plasma,substance concentration,mole volume,active,pmol l,0.18277414
bilirubin in plasma,47659-8,insulin unit volume serum plasma 2 hour post dose glucose,insulin 2h post dose glucose,serum plasma,amount concentration,unit volume,active,miu ml uiu ml,0.17048213
bilirubin in plasma,30362-8,insulin unit volume serum plasma 30 minute post 75 g glucose po,insulin 30m post 75 g glucose po,serum plasma,amount concentration,unit volume,active,miu ml uiu ml,0.1633964
bilirubin in plasma,55492-3,insulin mole volume serum plasma 30 minute post dose glucose iv,insulin 30m post dose glucose iv,serum plasma,substance concentration,mole volume,active,pmol l,0.18360248
bilirubin in plasma,27861-4,insulin unit volume serum plasma 3 hour post 75 g glucose po,insulin 3h post 75 g glucose po,serum plasma,amount concentration,unit volume,active,miu ml uiu ml,0.16658388
bilirubin in plasma,55493-1,insulin mole volume serum plasma 3 hour post dose glucose iv,insulin 3h post dose glucose iv,serum plasma,substance concentration,mole volume,active,pmol l,0.1829057
bilirubin in plasma,55497-2,insulin mole volume serum plasma 3 minute post dose glucose iv,insulin 3m post dose glucose iv,serum plasma,substance concentration,mole volume,active,pmol l,0.18189861
bilirubin in plasma,55495-6,insulin mole volume serum plasma 45 minute post dose glucose iv,insulin 45m post dose glucose iv,serum plasma,substance concentration,mole volume,active,pmol l,0.1812013
bilirubin in plasma,27862-2,insulin unit volume serum plasma 4 hour post 75 g glucose po,insulin 4h post 75 g glucose po,serum plasma,amount concentration,unit volume,active,miu ml uiu ml,0.16668071
bilirubin in plasma,55482-4,insulin mole volume serum plasma 4 hour post dose glucose iv,insulin 4h post dose glucose iv,serum plasma,substance concentration,mole volume,active,pmol l,0.1831623
bilirubin in plasma,55494-9,insulin mole volume serum plasma 5 minute post dose glucose iv,insulin 5m post dose glucose iv,serum plasma,substance concentration,mole volume,active,pmol l,0.17903432
bilirubin in plasma,27872-1,insulin unit volume serum plasma 6 hour post 75 g glucose po,insulin 6h post 75 g glucose po,serum plasma,amount concentration,unit volume,active,miu ml uiu ml,0.16828567
bilirubin in plasma,27833-3,insulin unit volume serum plasma 7 hour post 75 g glucose po,insulin 7h post 75 g glucose po,serum plasma,amount concentration,unit volume,active,miu ml uiu ml,0.168207
bilirubin in plasma,55479-0,insulin mole volume serum plasma 7 minute post dose glucose iv,insulin 7m post dose glucose iv,serum plasma,substance concentration,mole volume,active,pmol l,0.18414888
bilirubin in plasma,1500-8,glucose mass volume serum plasma 1 hour post 0 05 0 15 u insulin kg iv post 12h cfst,glucose 1h post 0 05 0 15 u insulin kg iv post 12h cfst,serum plasma,mass concentration,mass volume,active,mg dl,0.18069978
bilirubin in plasma,62855-2,deprecated phenx measure oral glucose tolerance test,phenx measure oral glucose tolerance test,patient,,,deprecated,,0.047584124
bilirubin in plasma,81324-6,glucose tolerance 2 hour gestational panel serum plasma,glucose tolerance 2h gestational panel,serum plasma,,,active,,0.1523643
bilirubin in plasma,1493-6,glucose mass volume serum plasma 1 5 hour post 0 05 0 15 u insulin kg iv 12 hour fasting,glucose 1 5h post 0 05 0 15 u insulin kg iv post 12h cfst,serum plasma,mass concentration,mass volume,active,mg dl,0.18121807
bilirubin in plasma,101977-7,cortisol glucose somatotropin post glucagon stimulation panel serum plasma,cortisol glucose somatotropin post glucagon stimulation panel,serum plasma,,,active,,0.11903698
bilirubin in plasma,58494-6,component peptide mass volume serum plasma 1 5 hour post dose glucose,component peptide 1 5h post dose glucose,serum plasma,mass concentration,mass volume,active,ug l,0.16773401
bilirubin in plasma,47583-0,component peptide mole volume serum plasma 1 5 hour post dose glucose,component peptide 1 5h post dose glucose,serum plasma,substance concentration,mole volume,active,nmol l,0.17156279
bilirubin in plasma,58503-4,component peptide mass volume serum plasma 1 hour post dose glucose,component peptide 1h post dose glucose,serum plasma,mass concentration,mass volume,active,ug l,0.16883573
bilirubin in plasma,47586-3,component peptide mole volume serum plasma 1 hour post dose glucose,component peptide 1h post dose glucose,serum plasma,substance concentration,mole volume,active,nmol l,0.17221078
bilirubin in plasma,25705-5,ketone presence urine 1 hour post 50 g glucose po,ketone 1h post 50 g glucose po,urine,prthr,presence,active,,0.05499509
bilirubin in plasma,55508-6,somatotropin mass volume serum plasma 1 hour post dose glucose,somatotropin 1h post dose glucose,serum plasma,mass concentration,mass volume,active,ug l ng ml,0.1592281
bilirubin in plasma,47761-2,somatotropin unit volume serum plasma 1 hour post dose glucose po,somatotropin 1h post dose glucose po,serum plasma,amount concentration,unit volume,active,miu l,0.15998814
bilirubin in plasma,46406-5,somatotropin mass volume serum plasma 30 minute post 1 g kg glucose po,somatotropin 30m post 1 g kg glucose po,serum plasma,mass concentration,mass volume,active,ug l ng ml,0.15562966
bilirubin in plasma,55510-2,somatotropin mass volume serum plasma 1 5 hour post dose glucose,somatotropin 1 5h post dose glucose,serum plasma,mass concentration,mass volume,active,ug l ng ml,0.15961018
bilirubin in plasma,47765-3,somatotropin unit volume serum plasma 2 hour post dose glucose po,somatotropin 2h post dose glucose po,serum plasma,amount concentration,unit volume,active,miu l,0.1602691
bilirubin in plasma,1632-9,somatotropin mass volume serum plasma 3 hour post 1 g kg glucose po,somatotropin 3h post 1 g kg glucose po,serum plasma,mass concentration,mass volume,active,ug l ng ml,0.15226436
bilirubin in plasma,16985-4,hydrogen expired gas volume fraction exhaled gas 1 5 hour post dose glucose,hydrogen expired gas 1 5h post dose glucose,exhl gas,vfr,volume fraction,active,,0.06251505
bilirubin in plasma,101980-1,glucose somatotropin cortisol post insulin administration serum plasma,glucose somatotropin cortisol post insulin administration,serum plasma,,,active,,0.12026579
bilirubin in plasma,47658-0,insulin unit volume serum plasma 1 5 hour post dose glucose,insulin 1 5h post dose glucose,serum plasma,amount concentration,unit volume,active,miu ml uiu ml,0.17118987
bilirubin in plasma,55485-7,insulin mole volume serum plasma 1 hour post dose glucose iv,insulin 1h post dose glucose iv,serum plasma,substance concentration,mole volume,active,pmol l,0.18286821
bilirubin in plasma,13609-3,insulin mass volume serum plasma 2 5 hour post 75 g glucose po,insulin 2 5h post 75 g glucose po,serum plasma,mass concentration,mass volume,active,ug l,0.15993536
bilirubin in plasma,27860-6,insulin unit volume serum plasma 2 hour post 75 g glucose po,insulin 2h post 75 g glucose po,serum plasma,amount concentration,unit volume,active,miu ml uiu ml,0.16732001
bilirubin in plasma,55496-4,insulin mole volume serum plasma 2 hour post dose glucose iv,insulin 2h post dose glucose iv,serum plasma,substance concentration,mole volume,active,pmol l,0.18173788
bilirubin in plasma,102076-7,insulin unit volume serum plasma 3 5 hour post 75 g glucose po,insulin 3 5h post 75 g glucose po,serum plasma,amount concentration,unit volume,active,uiu ml,0.16419229
bilirubin in plasma,9307-0,insulin mass volume serum plasma 30 minute post 75 g glucose po,insulin 30m post 75 g glucose po,serum plasma,mass concentration,mass volume,active,ug l,0.1545647
bilirubin in plasma,1567-7,insulin mass volume serum plasma 3 hour post 75 g glucose po,insulin 3h post 75 g glucose po,serum plasma,mass concentration,mass volume,active,ug l,0.1555845
bilirubin in plasma,72900-4,insulin mole volume serum plasma 3 hour post 75 g glucose po,insulin 3h post 75 g glucose po,serum plasma,substance concentration,mole volume,active,pmol l,0.17191318
bilirubin in plasma,72604-2,insulin unit volume serum plasma 4 5 hour post 75 g glucose po,insulin 4 5h post 75 g glucose po,serum plasma,amount concentration,unit volume,active,uiu ml,0.16973384
bilirubin in plasma,1568-5,insulin mass volume serum plasma 4 hour post 75 g glucose po,insulin 4h post 75 g glucose po,serum plasma,mass concentration,mass volume,active,ug l,0.15467763
bilirubin in plasma,1569-3,insulin mass volume serum plasma 5 hour post 75 g glucose po,insulin 5h post 75 g glucose po,serum plasma,mass concentration,mass volume,active,ug l,0.15397091
bilirubin in plasma,9339-3,insulin mass volume serum plasma 6 hour post 75 g glucose po,insulin 6h post 75 g glucose po,serum plasma,mass concentration,mass volume,active,ug l,0.1546147
bilirubin in plasma,10833-2,insulin mass volume serum plasma 7 hour post 75 g glucose po,insulin 7h post 75 g glucose po,serum plasma,mass concentration,mass volume,active,ug l,0.15744653
bilirubin in plasma,3099-9,uridine diphosphate glucose 4 epimerase enzymatic activity volume plasma,uridine diphosphate glucose 4 epimerase,plasma,cell concentration,enzymatic activity volume,active,arb u l,0.26522347
bilirubin in plasma,47750-5,somatotropin unit volume serum plasma 1 5 hour post dose glucose po,somatotropin 1 5h post dose glucose po,serum plasma,amount concentration,unit volume,active,miu l,0.15980946
bilirubin in plasma,1628-7,somatotropin mass volume serum plasma 1 hour post 1 g kg glucose po,somatotropin 1h post 1 g kg glucose po,serum plasma,mass concentration,mass volume,active,ug l ng ml,0.15555501
bilirubin in plasma,1630-3,somatotropin mass volume serum plasma 2 hour post 1 g kg glucose po,somatotropin 2h post 1 g kg glucose po,serum plasma,mass concentration,mass volume,active,ug l ng ml,0.155072
bilirubin in plasma,46405-7,somatotropin mass volume serum plasma 30 minute pre 1 g kg glucose po,somatotropin 30m pre 1 g kg glucose po,serum plasma,mass concentration,mass volume,active,ug l ng ml,0.15656328
bilirubin in plasma,55483-2,insulin mole volume serum plasma 1 5 hour post dose glucose iv,insulin 1 5h post dose glucose iv,serum plasma,substance concentration,mole volume,active,pmol l,0.1832246
bilirubin in plasma,27830-9,insulin unit volume serum plasma 1 hour post 75 g glucose po,insulin 1h post 75 g glucose po,serum plasma,amount concentration,unit volume,active,miu ml uiu ml,0.16729742
bilirubin in plasma,1561-0,insulin mass volume serum plasma 1 hour post 75 g glucose po,insulin 1h post 75 g glucose po,serum plasma,mass concentration,mass volume,active,ug l,0.15563443
bilirubin in plasma,72902-0,insulin mole volume serum plasma 1 hour post 75 g glucose po,insulin 1h post 75 g glucose po,serum plasma,substance concentration,mole volume,active,pmol l,0.17153136
bilirubin in plasma,1564-4,insulin mass volume serum plasma 2 hour post 75 g glucose po,insulin 2h post 75 g glucose po,serum plasma,mass concentration,mass volume,active,ug l,0.15495984
bilirubin in plasma,72901-2,insulin mole volume serum plasma 2 hour post 75 g glucose po,insulin 2h post 75 g glucose po,serum plasma,substance concentration,mole volume,active,pmol l,0.17196587
bilirubin in plasma,46407-3,somatotropin mass volume serum plasma 1 5 hour post 1 g kg glucose po,somatotropin 1 5h post 1 g kg glucose po,serum plasma,mass concentration,mass volume,active,ug l ng ml,0.15646796
bilirubin in plasma,27834-1,insulin unit volume serum plasma 1 5 hour post 75 g glucose po,insulin 1 5h post 75 g glucose po,serum plasma,amount concentration,unit volume,active,miu ml uiu ml,0.16796954
bilirubin in plasma,27940-6,deprecated insulin unit volume serum plasma 1 5 hour post 75 g glucose po,insulin 1 5h post 75 g glucose po,serum plasma,amount concentration,unit volume,deprecated,mu ml mcu ml,0.16434991
bilirubin in plasma,13608-5,insulin mass volume serum plasma 1 5 hour post 75 g glucose po,insulin 1 5h post 75 g glucose po,serum plasma,mass concentration,mass volume,active,ug l,0.15988474
bilirubin in plasma,104636-6,day continuous glucose monitor device worn reporting period estimated,day continuous glucose monitor device worn,patient,num,,active,,0.047447853
bilirubin in plasma,62854-5,phenx glycosylated hemoglobin assay reflecting long term glucose concentration protocol 140901,phenx glycosylated hemoglobin assay reflecting long term glucose concentration protocol 140901,patient,,,trial,,0.06460487
bilirubin in plasma,62853-7,deprecated phenx measure glycosylated hemoglobin assay reflects long term glucose concentration,phenx measure glycosylated hemoglobin assay reflects long term glucose concentration,patient,,,deprecated,,0.06891781
bilirubin in plasma,104637-4,percentage time continuous glucose monitor device worn reporting period calculated,percentage time continuous glucose monitor device worn,patient,timefr,,active,,0.050409324
bilirubin in plasma,104635-8,continuous glucose monitor device date time reporting period end reported,continuous glucose monitor device,patient,tmstp,date time,active,mmddyy,0.04418275
bilirubin in plasma,104634-1,continuous glucose monitor device date time reporting period start reported,continuous glucose monitor device,patient,tmstp,date time,active,mmddyy,0.046058115
bilirubin in plasma,106793-3,continuous glucose monitoring time range panel,continuous glucose monitoring time range panel,patient,,,active,,0.029572723
bilirubin in plasma,62852-9,phenx fasting plasma glucose diabetes screening glucometer protocol 140802,phenx fasting plasma glucose diabetes screening glucometer protocol 140802,patient,,,trial,,0.04359111
bilirubin in plasma,2358-0,glucose 6 phosphate dehydrogenase presence serum,glucose 6 phosphate dehydrogenase,serum,prthr,presence,active,,0.078692324
bilirubin in plasma,18228-7,glucose 6 phosphate dehydrogenase presence tissue,glucose 6 phosphate dehydrogenase,tiss,prthr,presence,active,,0.05507597
bilirubin in plasma,2354-9,glucose 6 phosphatase enzymatic activity volume serum,glucose 6 phosphatase,serum,cell concentration,enzymatic activity volume,active,arb u l,0.10910541
bilirubin in plasma,2355-6,glucose 6 phosphatase enzymatic activity mass tissue,glucose 6 phosphatase,tiss,ccnt,enzymatic activity mass,active,u g,0.0638659
bilirubin in plasma,2359-8,glucose 6 phosphate dehydrogenase enzymatic activity volume serum,glucose 6 phosphate dehydrogenase,serum,cell concentration,enzymatic activity volume,active,arb u l,0.10986476
bilirubin in plasma,80601-8,bordetella pertussis parapertussis bronchiseptica gida gene presence nasopharynx naa probe detection,bordetella pertussis parapertussis bronchiseptica gida gene,nph,prthr,presence,active,,0.045454312
bilirubin in plasma,94392-8,bordetella pertussis parapertussis bronchiseptica gida gene presence lower respiratory specimen naa probe detection,bordetella pertussis parapertussis bronchiseptica gida gene,respiratory system specimen lower,prthr,presence,active,,0.04537433
calcium in serum,33898-8,bilirubin conjugated indirect mass volume serum plasma,bilirubin glucuronidated bilirubin non glucuronidated,serum plasma,mass concentration,mass volume,active,mg dl,0.21096776
calcium in serum,33899-6,bilirubin conjugated indirect mole volume serum plasma,bilirubin glucuronidated bilirubin non glucuronidated,serum plasma,substance concentration,mole volume,active,umol l,0.21464776
calcium in serum,50189-0,neonatal bilirubin panel mass volume serum plasma,neonatal bilirubin panel,serum plasma,mass concentration,mass volume,active,,0.19435956
calcium in serum,15153-0,deprecated indirect bilirubin mass volume serum plasma,bilirubin non glucuronidated,serum plasma,mass concentration,mass volume,deprecated,mg dl,0.21677224
calcium in serum,1971-1,bilirubin indirect mass volume serum plasma,bilirubin non glucuronidated,serum plasma,mass concentration,mass volume,active,mg dl,0.21271865
calcium in serum,35192-4,bilirubin indirect mass mole volume serum plasma,bilirubin non glucuronidated,serum plasma,mass substance concentration,mass mole volume,discouraged,,0.20972942
calcium in serum,14630-8,bilirubin indirect mole volume serum plasma,bilirubin non glucuronidated,serum plasma,substance concentration,mole volume,active,umol l,0.22174604
calcium in serum,35672-5,bilirubin direct bilirubin total serum plasma,bilirubin glucuronidated bilirubin albumin bound bilirubin total,serum plasma,mfr,,active,,0.19848153
calcium in serum,43820-0,bilirubin direct presence serum plasma,bilirubin glucuronidated bilirubin albumin bound,serum plasma,prthr,presence,active,,0.1822191
calcium in serum,34442-4,bilirubin conjugated bilirubin total serum plasma,bilirubin glucuronidated bilirubin total,serum plasma,mfr,,active,ratio,0.20502444
calcium in serum,1968-7,bilirubin direct mass volume serum plasma,bilirubin glucuronidated bilirubin albumin bound,serum plasma,mass concentration,mass volume,active,mg dl,0.20813331
calcium in serum,35191-6,bilirubin direct mass mole volume serum plasma,bilirubin glucuronidated bilirubin albumin bound,serum plasma,mass substance concentration,mass mole volume,discouraged,,0.19851689
calcium in serum,14629-0,bilirubin direct mole volume serum plasma,bilirubin glucuronidated bilirubin albumin bound,serum plasma,substance concentration,mole volume,active,umol l,0.21589838
calcium in serum,18264-2,deprecated direct bilirubin mass volume serum plasma,bilirubin glucuronidated bilirubin albumin bound,serum plasma,mass concentration,mass volume,deprecated,mg dl,0.20853128
calcium in serum,34543-9,bilirubin direct total panel mass volume serum plasma,bilirubin direct total panel,serum plasma,mass concentration,mass volume,active,,0.19036178
calcium in serum,15152-2,bilirubin conjugated mass volume serum plasma,bilirubin glucuronidated,serum plasma,mass concentration,mass volume,active,mg dl,0.21719295
calcium in serum,29760-6,bilirubin conjugated mole volume serum plasma,bilirubin glucuronidated,serum plasma,substance concentration,mole volume,active,umol l,0.21888873
calcium in serum,1975-2,bilirubin total mass volume serum plasma,bilirubin,serum plasma,mass concentration,mass volume,active,mg dl,0.20904246
calcium in serum,14631-6,bilirubin total mole volume serum plasma,bilirubin,serum plasma,substance concentration,mole volume,active,umol l,0.21797888
calcium in serum,35194-0,bilirubin total mass mole volume serum plasma,bilirubin,serum plasma,mass substance concentration,mass mole volume,discouraged,,0.20120008
calcium in serum,77137-8,bilirubin total mole volume serum plasma blood,bilirubin,serum plasma blood,substance concentration,mole volume,active,umol l,0.2127094
calcium in serum,1970-3,bilirubin delta mass volume serum plasma,bilirubin albumin bound,serum plasma,mass concentration,mass volume,active,mg dl,0.20757392
calcium in serum,22665-4,bilirubin delta mole volume serum plasma,bilirubin albumin bound,serum plasma,substance concentration,mole volume,active,umol l,0.21435498
calcium in serum,1969-5,bilirubin total renal clearance 24 hour urine serum plasma,bilirubin renal clearance,urine serum plasma,vrat,,active,ml min,0.19467445
calcium in serum,104708-3,deprecated estimated average glucose mole volume blood,estimated average glucose,blood,substance concentration,mole volume,deprecated,mg dl,0.11725852
calcium in serum,2339-0,glucose mass volume blood,glucose,blood,mass concentration,mass volume,active,mg dl,0.11804307
calcium in serum,15074-8,glucose mole volume blood,glucose,blood,substance concentration,mole volume,active,mmol l,0.1331223
calcium in serum,40858-3,glucose mass volume capillary blood baseline,glucose baseline,bldc,mass concentration,mass volume,active,mg dl,0.08829671
calcium in serum,41651-1,glucose mass volume arterial blood,glucose,blda,mass concentration,mass volume,active,mg dl,0.10354508
calcium in serum,41652-9,glucose mass volume venous blood,glucose,bldv,mass concentration,mass volume,active,mg dl,0.093215466
calcium in serum,39481-7,glucose mole volume arterial blood,glucose,blda,substance concentration,mole volume,active,mmol l,0.116700925
calcium in serum,51596-5,glucose mole volume capillary blood,glucose,bldc,substance concentration,mole volume,active,mmol l,0.10904352
calcium in serum,39480-9,glucose mole volume venous blood,glucose,bldv,substance concentration,mole volume,active,mmol l,0.10688919
calcium in serum,87421-4,deprecated glucose mass volume blood pre meal,glucose pre meal,blood,mass concentration,mass volume,deprecated,mg dl,0.0901095
calcium in serum,49134-0,glucose mass volume blood 2 hour post dose glucose,glucose 2h post dose glucose,blood,mass concentration,mass volume,active,mg dl,0.105593525
calcium in serum,104598-8,glucose mass volume arterial blood glucometer,glucose,blda,mass concentration,mass volume,active,mg dl,0.11462119
calcium in serum,32016-8,glucose mass volume capillary blood,glucose,bldc,mass concentration,mass volume,active,mg dl,0.09728784
calcium in serum,104597-0,glucose mass volume venous blood glucometer,glucose,bldv,mass concentration,mass volume,active,mg dl,0.10398353
calcium in serum,47995-6,glucose mole volume cord blood,glucose,bldco,substance concentration,mole volume,active,nmol l,0.10629022
calcium in serum,101476-0,fasting glucose mole volume venous blood,glucose post cfst,bldv,substance concentration,mole volume,active,mmol l,0.09567501
calcium in serum,52041-1,blood glucose monitor attachment,blood glucose monitor attachment,patient,find,,active,,0.06454181
calcium in serum,96594-7,glucose mass volume db,glucose,blood dot,mass concentration,mass volume,active,mg dl,0.109874494
calcium in serum,5914-7,glucose presence blood test strip,glucose,blood,prthr,presence,discouraged,,0.089292
calcium in serum,88365-2,glucose mass volume blood pre meal,glucose pre meal,blood,mass concentration,mass volume,active,mg dl,0.10322529
calcium in serum,41653-7,glucose mass volume capillary blood glucometer,glucose,bldc,mass concentration,mass volume,active,mg dl,0.10474916
calcium in serum,14743-9,glucose mole volume capillary blood glucometer,glucose,bldc,substance concentration,mole volume,active,mmol l,0.12019775
calcium in serum,27353-2,glucose mean value mass volume blood estimated glycated hemoglobin,estimated average glucose,blood,mass concentration,mass volume,active,mg dl,0.10995524
calcium in serum,53553-4,glucose mean value mole volume blood estimated glycated hemoglobin,estimated average glucose,blood,substance concentration,mole volume,active,mmol l,0.11557462
calcium in serum,59813-6,glucose mole volume capillary blood glucometer 7 specimen,glucose 7 specimen,bldc,substance concentration,mole volume,active,mmol l,0.10476435
calcium in serum,1556-0,fasting glucose mass volume capillary blood,glucose post cfst,bldc,mass concentration,mass volume,active,mg dl,0.09007178
calcium in serum,1557-8,fasting glucose mass volume venous blood,glucose post cfst,bldv,mass concentration,mass volume,active,mg dl,0.08814711
calcium in serum,87422-2,glucose mass volume blood post meal,glucose post meal,blood,mass concentration,mass volume,active,mg dl,0.10153662
calcium in serum,104655-6,glucose mass volume mixed venous blood,glucose,bldmv,mass concentration,mass volume,active,g dl,0.09005645
calcium in serum,100746-7,glucose mole volume mixed venous blood,glucose,bldmv,substance concentration,mole volume,active,mmol l,0.105712324
calcium in serum,2340-8,glucose mass volume blood automated test strip,glucose,blood,mass concentration,mass volume,active,mg dl,0.10777169
calcium in serum,72516-8,glucose mole volume blood automated test strip,glucose,blood,substance concentration,mole volume,active,umol l,0.10988789
calcium in serum,76629-5,fasting glucose mole volume blood,glucose post cfst,blood,substance concentration,mole volume,active,mmol l,0.1258494
calcium in serum,41604-0,fasting glucose mass volume capillary blood glucometer,glucose post cfst,bldc,mass concentration,mass volume,active,mg dl,0.09791388
calcium in serum,14770-2,fasting glucose mole volume capillary blood glucometer,glucose post cfst,bldc,substance concentration,mole volume,active,mmol l,0.11170779
calcium in serum,97062-4,history high blood glucose,high blood glucose,patient,hx,,active,,0.065688975
calcium in serum,74774-1,glucose mass volume serum plasma blood,glucose,serum plasma blood,mass concentration,mass volume,active,mg dl,0.21208999
calcium in serum,77135-2,glucose mole volume serum plasma blood,glucose,serum plasma blood,substance concentration,mole volume,active,mmol l,0.22575971
calcium in serum,2341-6,glucose mass volume blood test strip manual,glucose,blood,mass concentration,mass volume,active,mg dl,0.11320224
calcium in serum,81637-1,glucose meter reference method correlation ratio serum plasma blood calculation,glucose meter reference method correlation,serum plasma blood,ratio,ratio,active,,0.19369754
calcium in serum,14760-3,glucose mole volume capillary blood 2 hour post meal,glucose 2h post meal,bldc,substance concentration,mole volume,active,mmol l,0.10325824
calcium in serum,6689-4,glucose mass volume blood 2 hour post meal,glucose 2h post meal,blood,mass concentration,mass volume,active,mg dl,0.105934314
calcium in serum,77145-1,fasting glucose mole volume serum plasma blood,glucose post cfst,serum plasma blood,substance concentration,mole volume,active,mmol l,0.2218866
calcium in serum,13453-6,deprecated glucose mean value,glucose mean value,blood,amount concentration,,deprecated,,0.10109154
calcium in serum,77677-3,glucose mole volume serum plasma blood 2 hour post meal,glucose 2h post meal,serum plasma blood,substance concentration,mole volume,active,mmol l,0.2092449
calcium in serum,104873-5,glucose dumping syndrome panel serum plasma blood,glucose dumping syndrome panel,serum plasma blood,,,active,,0.1698949
calcium in serum,11047-8,glucose phosphate isomerase enzymatic activity volume red blood cell,glucose phosphate isomerase,rbc,cell concentration,enzymatic activity volume,active,u ml rbc,0.1084324
calcium in serum,44050-3,glucose phosphate isomerase enzymatic activity mass red blood cell,glucose phosphate isomerase,rbc,ccnt,enzymatic activity mass,active,u g hb,0.09931067
calcium in serum,104875-0,hematocrit volume fraction blood 30 minute post dose glucose,hematocrit 30m post dose glucose,blood,vfr,volume fraction,active,,0.0993644
calcium in serum,104880-0,hematocrit volume fraction blood 3 hour post dose glucose,hematocrit 3h post dose glucose,blood,vfr,volume fraction,active,,0.09901235
calcium in serum,79469-3,uridine diphosphate glucose 4 epimerase enzymatic activity mass red blood cell,uridine diphosphate glucose 4 epimerase,rbc,ccnt,enzymatic activity mass,active,u g hb,0.08780266
calcium in serum,62851-1,phenx fasting plasma glucose diabetes screening blood draw protocol 140801,phenx fasting plasma glucose diabetes screening blood draw protocol 140801,patient,,,trial,,0.062182065
calcium in serum,104876-8,hematocrit volume fraction blood 1 hour post dose glucose,hematocrit 1h post dose glucose,blood,vfr,volume fraction,active,,0.09835758
calcium in serum,104879-2,hematocrit volume fraction blood 2 5 hour post dose glucose,hematocrit 2 5h post dose glucose,blood,vfr,volume fraction,active,,0.09943665
calcium in serum,104878-4,hematocrit volume fraction blood 2 hour post dose glucose,hematocrit 2h post dose glucose,blood,vfr,volume fraction,active,,0.09839916
calcium in serum,62850-3,deprecated phenx measure fasting plasma glucose diabetes screening blood draw,phenx measure fasting plasma glucose diabetes screening blood draw,patient,,,deprecated,,0.06266065
calcium in serum,104877-6,hematocrit volume fraction blood 1 5 hour post dose glucose,hematocrit 1 5h post dose glucose,blood,vfr,volume fraction,active,,0.09950198
calcium in serum,96045-0,osmotic fragility red blood cell 10 glucose 48 hour 37 degree component incubation,osmotic fragility 10 glucose 48h 37 deg component incubation,rbc,nfr,,active,,0.08782884
calcium in serum,49502-8,glucose 6 phosphate dehydrogenase entitic catalytic activity blood,glucose 6 phosphate dehydrogenase,blood,entcat,entitic catalytic activity,active,u 10 10 cell,0.10638851
calcium in serum,74542-2,pyruvate kinase glucose 6 phosphate dehydrogenase enzymatic activity ratio red blood cell,pyruvate kinase glucose 6 phosphate dehydrogenase,rbc,crto,enzymatic activity ratio,active,ratio,0.09274931
calcium in serum,32779-1,glucose 6 phosphatase enzymatic activity volume red blood cell,glucose 6 phosphatase,rbc,cell concentration,enzymatic activity volume,active,u 10 12,0.10934086
calcium in serum,2357-2,glucose 6 phosphate dehydrogenase enzymatic activity volume red blood cell,glucose 6 phosphate dehydrogenase,rbc,cell concentration,enzymatic activity volume,active,u ml rbc,0.10756338
calcium in serum,32546-4,glucose 6 phosphate dehydrogenase enzymatic activity mass red blood cell,glucose 6 phosphate dehydrogenase,rbc,ccnt,enzymatic activity mass,active,u g hb,0.08955439
